id,teks_laporan,tema_aktual
1,"Pada hari Selasa tanggal 15 Maret 2024 telah dilaksanakan pemeriksaan ibu hamil di Posyandu Melati. Sebanyak 12 ibu hamil hadir untuk memeriksakan kehamilan. Pemeriksaan meliputi pengukuran tekanan darah, penimbangan berat badan, pengukuran tinggi fundus uteri, dan pemeriksaan denyut jantung janin. Seluruh ibu hamil diberikan tablet tambah darah (Fe) masing-masing 30 tablet.",Pemeriksaan Kehamilan (ANC)
2,"Kegiatan imunisasi dasar lengkap dilaksanakan di Posyandu Mawar pada tanggal 20 Maret 2024. Total 25 bayi mendapatkan imunisasi dengan rincian: 5 bayi mendapat BCG, 8 bayi mendapat DPT-HB-Hib dosis 1, 7 bayi mendapat Polio tetes, dan 5 bayi mendapat imunisasi Campak. Tidak ditemukan kejadian KIPI pasca imunisasi.",Imunisasi
3,"Kegiatan penimbangan balita bulan Maret 2024 di Posyandu Dahlia diikuti oleh 52 balita dari total 60 balita yang terdaftar (D/S = 86.7%). Hasil penimbangan menunjukkan 45 balita naik berat badannya (N/D = 86.5%), 5 balita tidak naik berat badan, dan 2 balita berada di bawah garis merah (BGM). Seluruh hasil dicatat di KMS masing-masing balita.",Penimbangan & Pemantauan Pertumbuhan
4,"Pemberian Makanan Tambahan (PMT) pemulihan dilaksanakan untuk 8 balita gizi kurang di Posyandu Anggrek. PMT berupa biskuit MP-ASI dan susu formula diberikan selama 90 hari. Selain itu, 3 ibu hamil dengan KEK juga mendapatkan PMT berupa makanan tambahan tinggi protein dan kalori.",Pemberian Makanan Tambahan (PMT)
5,"Kegiatan penyuluhan kesehatan dilaksanakan di Posyandu Cempaka dengan tema ASI Eksklusif dan MPASI. Sebanyak 30 ibu balita mengikuti penyuluhan yang disampaikan oleh bidan desa. Materi meliputi pentingnya ASI eksklusif selama 6 bulan, cara menyusui yang benar, dan panduan pemberian MPASI setelah bayi berusia 6 bulan.",Penyuluhan Kesehatan
6,"Pelayanan KB di Posyandu Kenanga bulan ini melayani 15 akseptor KB. Rincian pelayanan: 8 akseptor suntik KB 3 bulan, 4 akseptor pil KB, 2 akseptor mendapat konseling untuk pemasangan IUD, dan 1 akseptor baru mendaftar menggunakan implant. Total akseptor aktif di wilayah ini mencapai 156 orang.",Pelayanan KB
7,"Kunjungan nifas (KF) dilakukan kepada 6 ibu pasca persalinan di wilayah Posyandu Flamboyan. Pemeriksaan meliputi pengecekan involusi uterus, kondisi jahitan perineum, pemantauan pengeluaran lochea, serta konseling tentang perawatan bayi baru lahir dan teknik menyusui yang benar. Seluruh ibu nifas dalam kondisi baik.",Pemeriksaan Nifas
8,"Kegiatan Stimulasi Deteksi dan Intervensi Dini Tumbuh Kembang (SDIDTK) dilaksanakan di Posyandu Bougenville untuk 20 balita usia 12-36 bulan. Pemeriksaan menggunakan instrumen KPSP menunjukkan 17 anak perkembangan sesuai usia, 2 anak meragukan, dan 1 anak kemungkinan ada penyimpangan pada aspek motorik kasar.",Deteksi Dini Tumbuh Kembang
9,"Pemeriksaan ANC terpadu dilaksanakan bekerja sama dengan Puskesmas Sehat untuk 8 ibu hamil trimester III. Dilakukan pemeriksaan USG oleh dokter, pemeriksaan laboratorium (Hb, golongan darah, protein urin), serta pemberian imunisasi TT pada 3 ibu hamil yang belum lengkap status imunisasinya.",Pemeriksaan Kehamilan (ANC)
10,"Pelaksanaan imunisasi lanjutan (booster) DPT-HB-Hib dan Campak/MR untuk 18 baduta usia 18 bulan di Posyandu Teratai. Sebelum imunisasi dilakukan screening kesehatan terlebih dahulu. Dua anak ditunda imunisasinya karena sedang demam. Orang tua diberikan edukasi tentang KIPI ringan yang mungkin terjadi.",Imunisasi
11,"Hasil pemantauan pertumbuhan balita di Posyandu Seruni bulan April menunjukkan dari 48 balita yang ditimbang, terdapat 3 balita dengan status gizi buruk (BB/U < -3SD), 7 balita gizi kurang (BB/U -3SD s/d -2SD), dan 38 balita gizi baik. Balita gizi buruk dirujuk ke Puskesmas untuk penanganan lebih lanjut.",Penimbangan & Pemantauan Pertumbuhan
12,"Program PMT penyuluhan berupa demo masak makanan bergizi untuk balita dilaksanakan di Posyandu Matahari. Ibu-ibu diajarkan membuat bubur tim ikan dengan sayuran dan puding buah. Bahan makanan disediakan dari dana BOK Puskesmas. Hasil masakan dibagikan kepada 15 balita yang hadir sebagai PMT hari itu.",Pemberian Makanan Tambahan (PMT)
13,"Penyuluhan tentang Perilaku Hidup Bersih dan Sehat (PHBS) dilakukan di Posyandu Lili dengan peserta 25 ibu. Materi mencakup 7 langkah cuci tangan pakai sabun, pentingnya jamban sehat, pengelolaan air minum rumah tangga, dan kebersihan lingkungan. Dilakukan juga praktik langsung cara mencuci tangan yang benar.",Penyuluhan Kesehatan
14,"Konseling KB pasca persalinan diberikan kepada 5 ibu yang baru melahirkan dalam 40 hari terakhir. Bidan menjelaskan berbagai metode KB yang aman untuk ibu menyusui termasuk MAL, mini pil, suntik 3 bulan, dan AKDR pasca plasenta. Tiga ibu memutuskan untuk menggunakan metode suntik 3 bulan.",Pelayanan KB
